475 13289
0 4 0.0182032592
0 12 0.0182032592
0 18 0.0182032592
0 25 0.0285639754
0 30 0.0182032592
0 46 0.0371773106
0 55 0.0182032592
0 58 0.0182032592
0 59 0.0285639754
0 74 0.0182032592
0 76 0.0285639754
0 77 0.0182032592
0 85 0.0182032592
0 86 0.0182032592
0 87 0.0371773106
0 154 0.0182032592
0 168 0.0371773106
0 341 0.0518178819
0 374 0.0583374533
0 401 0.0182032592
4 0 0.0260292787
4 3 0.0691911053
4 12 0.0165879469
4 14 0.0165879469
4 17 0.0165879469
4 24 0.0260292787
4 25 0.0165879469
4 27 0.0165879469
4 30 0.0640916022
4 46 0.0472196909
4 55 0.0260292787
4 58 0.0788311537
4 59 0.0260292787
4 64 0.0165879469
4 79 0.0165879469
4 84 0.0165879469
4 88 0.0472196909
4 89 0.0165879469
4 149 0.0165879469
4 154 0.0165879469
4 168 0.0165879469
4 179 0.0165879469
4 197 0.0260292787
4 213 0.0260292787
4 224 0.0165879469
4 243 0.0408443164
4 250 0.0165879469
4 268 0.0260292787
4 286 0.0165879469
4 293 0.0260292787
4 315 0.0165879469
4 374 0.0165879469
4 401 0.0165879469
4 447 0.0165879469
4 460 0.0165879469
12 11 0.0136578115
12 13 0.0136578115
12 17 0.0759214228
12 30 0.0136578115
12 32 0.0723509593
12 46 0.0136578115
12 55 0.0136578115
12 57 0.0214314035
12 59 0.0214314035
12 64 0.0388786895
12 74 0.0136578115
12 84 0.0527703053
12 89 0.0483832281
12 91 0.0136578115
12 126 0.0214314035
12 162 0.0437702904
12 254 0.0136578115
12 255 0.0136578115
12 327 0.0136578115
12 334 0.0336294767
12 392 0.0610072031
12 398 0.0437702904
12 448 0.0278939444
12 454 0.0136578115
12 470 0.0214314035
18 0 0.0195381644
18 2 0.0195381644
18 9 0.0195381644
18 14 0.0195381644
18 28 0.0195381644
18 42 0.0306586663
18 46 0.0306586663
18 50 0.0306586663
18 54 0.0626155318
18 55 0.0195381644
18 57 0.0195381644
18 59 0.0481086040
18 68 0.1896347055
18 79 0.0399036457
18 85 0.0195381644
18 110 0.0195381644
18 217 0.0195381644
18 229 0.0195381644
18 299 0.0872737748
18 442 0.0399036457
25 4 0.0143893162
25 17 0.0143893162
25 18 0.0143893162
25 24 0.0723615676
25 27 0.0509746066
25 30 0.0143893162
25 32 0.0143893162
25 48 0.0143893162
25 53 0.0143893162
25 54 0.0143893162
25 55 0.0225792574
25 57 0.0354306525
25 58 0.0293879283
25 61 0.0555966531
25 64 0.0461146025
25 71 0.0143893162
25 74 0.0225792574
25 75 0.0143893162
25 77 0.0143893162
25 80 0.0225792574
25 87 0.0143893162
25 89 0.0225792574
25 111 0.0143893162
25 123 0.0143893162
25 136 0.0555966531
25 147 0.0143893162
25 193 0.0143893162
25 197 0.0143893162
25 205 0.0642747145
25 215 0.0225792574
