34 156
0 10 0.05
0 14 0.05
0 15 0.05
0 16 0.05
0 19 0.05
0 20 0.05
0 21 0.05
0 23 0.05
0 24 0.05
0 27 0.05
0 28 0.05
0 29 0.05
0 30 0.05
0 31 0.05
0 32 0.05
0 33 0.05
0 9 0.05
1 11 0.05
1 12 0.05
1 13 0.05
1 14 0.05
1 18 0.05
1 2 0.05
1 20 0.05
1 22 0.05
1 3 0.05
1 32 0.05
1 4 0.05
1 5 0.05
1 6 0.05
1 7 0.05
1 8 0.05
1 9 0.05
10 0 0.05
10 3 0.05
11 1 0.05
11 5 0.05
11 6 0.05
12 1 0.05
13 1 0.05
13 4 0.05
14 0 0.05
14 1 0.05
14 2 0.05
14 3 0.05
14 4 0.05
15 0 0.05
15 33 0.05
16 0 0.05
16 33 0.05
17 6 0.05
17 7 0.05
18 1 0.05
18 2 0.05
19 0 0.05
19 33 0.05
2 1 0.05
2 14 0.05
2 18 0.05
2 20 0.05
2 22 0.05
2 3 0.05
2 31 0.05
2 4 0.05
2 8 0.05
20 0 0.05
20 1 0.05
20 2 0.05
21 0 0.05
21 33 0.05
22 1 0.05
22 2 0.05
23 0 0.05
23 33 0.05
24 0 0.05
24 26 0.05
24 28 0.05
24 30 0.05
24 33 0.05
25 26 0.05
25 28 0.05
25 32 0.05
26 24 0.05
26 25 0.05
26 32 0.05
27 0 0.05
27 30 0.05
28 0 0.05
28 24 0.05
28 25 0.05
28 3 0.05
29 0 0.05
29 3 0.05
29 32 0.05
3 1 0.05
3 10 0.05
3 14 0.05
3 2 0.05
3 28 0.05
3 29 0.05
3 33 0.05
3 4 0.05
3 8 0.05
3 9 0.05
30 0 0.05
30 24 0.05
30 27 0.05
30 33 0.05
31 0 0.05
31 2 0.05
31 33 0.05
31 9 0.05
32 0 0.05
32 1 0.05
32 25 0.05
32 26 0.05
32 29 0.05
32 33 0.05
33 0 0.05
33 15 0.05
33 16 0.05
33 19 0.05
33 21 0.05
33 23 0.05
33 24 0.05
33 3 0.05
33 30 0.05
33 31 0.05
33 32 0.05
33 9 0.05
4 1 0.05
4 13 0.05
4 14 0.05
4 2 0.05
4 3 0.05
4 8 0.05
5 1 0.05
5 11 0.05
5 7 0.05
6 1 0.05
6 11 0.05
6 17 0.05
6 7 0.05
7 1 0.05
7 17 0.05
7 5 0.05
7 6 0.05
8 1 0.05
8 2 0.05
8 3 0.05
8 4 0.05
9 0 0.05
9 1 0.05
9 3 0.05
9 31 0.05
9 33 0.05
